fecha_dia,HORA,Planta (Kw),Elaboracion (Kw),Bodega (Kw),Cocina (Kw),Envasado (Kw),Linea 2 (Kw),Linea 3 (Kw),Linea 4 (Kw),Servicios (Kw),Sala Maq (Kw),Aire (Kw),Calderas (Kw),Efluentes (Kw),Frio (Kw),Pta Agua / Eflu (Kw),Prod Agua (Kw),Resto Serv (Kw),Restos Planta (Kw),KW Gral Planta,HORA_Produccion,Hl de Mosto_Produccion,Hl Cerveza Cocina_Produccion,Hl Producido Bodega_Produccion,Hl Cerveza Filtrada_Produccion,Hl Cerveza Envasada_Produccion,Hl Cerveza L2_Produccion,Hl Cerveza L3_Produccion,Hl Cerveza L4_Produccion,Hl Cerveza L5_Produccion,Cocimientos Diarios_Produccion,Hl de Mosto Copia_Produccion,Unnamed: 14_Produccion,Unnamed: 15_Produccion,Unnamed: 16_Produccion,Unnamed: 17_Produccion,Unnamed: 18_Produccion,HORA_GasVapor,Conversion Kg/Mj_GasVapor,Gas Planta (Mj)_GasVapor,Vapor Elaboracion (Kg)_GasVapor,Vapor Cocina (Kg)_GasVapor,Vapor Envasado (Kg)_GasVapor,Vapor Servicio (Kg)_GasVapor,ET Elaboracion (Mj)_GasVapor,ET Envasado (Mj)_GasVapor,ET Servicios (Mj)_GasVapor,Tot_Vapor_L3_L4_GasVapor,VAPOR DE LINEA 1 Y 2 KG_GasVapor,VAPOR DE LINEA 4 KG_GasVapor,Vapor_L5 (KG)_GasVapor,Tot_Vapor_CIP_Bodega_GasVapor,Vapor L3_GasVapor,Tot Vap Paste L3 / Hora_GasVapor,Tot Vap Lav L3 / Hora_GasVapor,Medicion Gas Planta (M3)_GasVapor,Vapor _Vapor_L5 (KG)_GasVapor,HORA_Agua,Agua Planta (Hl)_Agua,Agua Elaboracion (Hl)_Agua,Agua Bodega (Hl)_Agua,Agua Cocina (Hl)_Agua,Agua Dilucion (Hl)_Agua,Agua Envasado (Hl)_Agua,Agua Servicios (Hl)_Agua,Planta de agua (Hl)_Agua,Produccion (Hl)_Agua,Red L1 y L2_Agua,FC L1 y L2_Agua,FC Lavadora L2_Agua,Red L3_Agua,FC Lavadora L3_Agua,Red Paste L4_Agua,FC Barriles_Agua,Agua Paste L3_Agua,Agua Lavadora L3_Agua,Agua Cond Evaporativos_Agua,Agua Calderas_Agua,Agua Efluentes_Agua,Agua CO2_Agua
2020-07-01,07:00:00,6875.62,649.25,827.75,26.0,56.0,187.4299999999977,103.0,0.0,5958.5,4156.0,1221.0,70.0,169.0,3545.0,209.0,32.0,264.5,211.8699999999999,7310.0,07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,07:00:00,8.192247703985213,26160.79612799822,1423.88,90.0,435.6,1333.88,11664.77766075046,3568.543099855959,10927.47536739179,0.0,0.0,11.0,,1333.88,0.0,,,,424.6,07:00:00,1750.0,154.0,154.0,0.0,0.0,1.0,1595.0,1735.6,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,
2020-07-02,06:00:00,13694.37,912.75,1067.5,95.0,3921.0,1322.750000000005,1392.0,1703.0,8217.5,5722.0,1496.0,155.0,197.0,4998.0,385.0,173.0,584.5,643.1200000000008,14203.0,06:00:00,0.0,0.0,1490.0,3467.0,2980.0,705.0,991.0,1284.0,0.0,,,,,,,,06:00:00,2.835132506064049,113025.676,6019.190000000001,1220.0,29047.72,4799.190000000001,17065.20122917566,82354.1351990468,13606.33957177752,21476.21,0.0,7486.130000000001,,4799.190000000001,13990.08,,,,85.38000000000011,06:00:00,9850.0,3376.0,2711.0,665.0,950.0,3034.0,3440.0,12546.4,6410.0,69.9,30.1,0.0,118.5,27.0,55.6,2.3,,,,,,
2020-07-03,06:00:00,13841.14,1170.0,1271.75,100.0,3105.0,202.8599999999721,1302.0,1803.0,9262.0,6767.0,1853.0,183.0,189.0,6378.0,406.0,202.0,192.0,304.1399999999994,14354.0,06:00:00,490.0,563.5,1431.25,2138.0,2299.0,0.0,809.0,1490.0,0.0,,,,,,,,06:00:00,2.099733466167515,98130.95955200016,6254.219999999998,1810.0,36036.52,4444.219999999998,13132.19503877419,75667.08704821498,9331.67746501099,26921.05,0.0,9030.799999999996,,4444.219999999998,17890.25000000001,,,,84.67000000000007,06:00:00,9380.0,3470.9,2207.2,1263.7,768.0,3576.6,2332.5,12609.51,7047.5,0.3,0.0,0.0,199.75,20.0,137.61,0.0,,,,,,
2020-07-04,06:00:00,13642.77,1273.25,1078.0,406.0,3960.0,1123.420000000023,1490.0,1820.0,7821.5,5378.0,1993.0,195.0,188.0,4602.0,397.0,190.0,550.5,588.0200000000004,14196.0,06:00:00,1572.0,2444.8,2830.4,1932.0,3216.0,340.0,1416.0,1460.0,0.0,,,,,,,,06:00:00,2.78982415952756,150369.1508479998,18774.7,14720.0,31069.74999999998,4054.700000000004,52378.11164788209,86679.13918048135,11311.90001963641,23306.22999999998,0.0,7695.419999999998,,4054.700000000004,15610.80999999998,,,,68.09999999999991,06:00:00,9110.0,4376.0,1801.6,2574.4,647.0,3086.800000000001,1647.199999999999,11759.2,7462.800000000001,81.31,37.9,0.0,112.28,33.0,41.59,2.6,,,,,,
2020-07-05,06:00:00,14014.67,1082.25,991.75,352.0,4044.0,1161.480000000056,1659.0,1812.0,8149.5,5692.0,1931.0,190.0,170.0,4914.0,391.0,199.0,615.5,738.9200000000001,14597.0,06:00:00,1729.0,3112.2,3175.6,3039.0,3239.0,204.0,1380.0,1472.0,183.0,,,,,,,,06:00:00,2.837637488954048,140361.3831519961,16785.26,14060.0,29953.64999999999,2725.260000000002,47630.48303784083,84997.60017100838,7733.299943146914,21730.69,0.0,7051.859999999986,,2725.260000000002,14678.83000000002,,,,1171.1,06:00:00,8310.0,3579.1,1148.8,2430.3,516.0,3010.5,1720.4,10962.59,6589.6,76.69,32.51,0.0,125.76,33.0,23.79,9.3,,,,,,
2020-07-06,12:00:00,33569.34,3484.870000000112,3175.870000000112,876.0,8153.0,2645.530000000002,2797.0,3943.0,20366.0,14405.0,3937.0,428.0,420.0,12589.0,941.0,478.0,1667.0,1565.469999999885,34757.0,12:00:00,3171.0,4597.95,4552.975,4777.0,4508.0,654.0,1007.0,2847.0,0.0,,,,,,,,12:00:00,2.779595984943539,311919.5904,44988.67999999999,38950.0,61190.24,6038.679999999993,125050.3542959097,170084.1454217315,16785.09068235883,42541.31,0.0,16946.25,,6038.679999999993,25595.06,,,,1702.68,12:00:00,18060.0,8465.4,3298.4,5167.0,1349.0,6758.600000000001,2835.999999999999,23972.06,15224.0,154.66,55.2,0.0,243.94,34.0,160.96,27.1,,,,,,
2020-07-07,06:00:00,14430.52,1495.879999999888,1426.379999999888,322.0,4041.0,1121.239999999972,1582.0,1819.0,8260.5,5935.0,1787.0,193.0,185.0,5167.0,417.0,212.0,572.5,633.1400000001122,15000.0,06:00:00,1516.0,2198.2,2372.6,1833.0,2547.0,219.0,866.0,1462.0,0.0,,,,,,,,06:00:00,2.910001647350946,155894.8119520002,20170.64,16400.0,29630.78999999998,3770.639999999999,58696.59562812289,86225.64771230987,10972.56861156737,21146.15999999997,700.0,7667.5,,3770.639999999999,13478.65999999997,,,,117.130000000001,06:00:00,7580.0,3556.2,1114.8,2441.4,295.0,3329.9,693.9000000000005,10554.28,6886.099999999999,110.97,14.2,0.0,133.23,29.0,44.19,1.4,,,,,,
2020-07-08,06:00:00,16087.28,1705.620000000112,1742.870000000112,216.0,4387.0,1455.310000000028,1643.0,1791.0,9340.5,6883.0,1812.0,197.0,185.0,6102.0,418.0,210.0,663.5,654.1599999998889,16693.0,06:00:00,950.0,1377.5,2431.25,1923.0,3485.0,886.0,1263.0,1336.0,0.0,,,,,,,,06:00:00,2.948048415752589,171202.0156479998,20046.39,15810.0,33790.2199999999,4236.389999999999,59097.72828105855,99615.20453893115,12489.08282801011,23929.37999999989,720.0,9087.350000000006,,4236.389999999999,14842.02999999988,,,,53.4900000000016,06:00:00,9650.0,3502.0,2007.5,1494.5,631.0,3767.5,2380.5,13067.3,7269.5,97.17,24.5,0.0,106.9,30.0,115.48,2.7,,,,,,
2020-07-09,06:00:00,16023.86,1412.25,1396.5,278.0,4331.0,1484.290000000051,1592.0,1773.0,9583.5,6841.0,1753.0,192.0,200.0,6054.0,450.0,228.0,717.5,697.1100000000006,16575.0,06:00:00,1178.0,2112.6,2534.8,3304.0,2957.0,524.0,1164.0,1269.0,0.0,,,,,,,,06:00:00,2.943268817194792,159713.185904,17490.90999999999,13110.0,32392.05999999999,4380.909999999989,51480.44998736052,95338.54012270269,12894.1957939368,23640.5,10.0,8664.799999999988,,4380.909999999989,14975.70000000001,,,,76.76000000000022,06:00:00,10550.0,4547.800000000001,2341.7,2206.1,1185.0,3682.0,2320.199999999998,13777.22,8229.800000000001,94.68,13.7,0.0,112.41,32.0,112.81,2.6,,,,,,
2020-07-10,13:00:00,35218.85,3298.370000000112,3063.620000000112,819.0,8301.0,540.6000000000001,3990.0,4311.0,22744.0,15837.0,3701.0,450.0,336.0,14234.0,884.0,489.0,1675.0,875.4799999998868,36457.0,13:00:00,3628.0,6318.55,6089.775,6528.0,5861.0,0.0,2798.0,3063.0,0.0,,,,,,,,13:00:00,2.683871916880343,299055.339824,39202.5,33690.0,66711.82999999996,5512.5,105214.4888215017,179046.0070606955,14794.84394180289,49885.06999999995,0.0,16651.72,,5512.5,33233.34999999995,,,,175.0400000000009,13:00:00,19810.0,10842.1,4632.7,6209.400000000001,2314.0,4796.4,4171.5,23522.19,15638.5,29.19,0.0,0.0,241.74,97.0,111.21,0.5,,,,,,
